timestamp,event_id,username,source_ip,dest_ip,process,action,details
2025-01-02T06:39:00,4624,user1,192.168.1.165,10.0.0.218,svchost.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T05:17:00,4625,svc-backup,192.168.1.177,10.0.0.9,lsass.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-01T23:39:00,4624,user1,192.168.1.210,10.0.0.16,powershell.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T17:34:00,4624,mered,192.168.1.62,10.0.0.135,svchost.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-02T01:24:00,4624,svc-backup,192.168.1.178,10.0.0.125,powershell.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T05:19:00,4624,svc-backup,192.168.1.76,10.0.0.121,cmd.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T18:43:00,4625,admin,192.168.1.20,10.0.0.152,powershell.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T04:41:00,4625,admin,192.168.1.120,10.0.0.164,explorer.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T19:08:00,4624,svc-backup,192.168.1.98,10.0.0.57,svchost.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T17:31:00,4625,svc-backup,192.168.1.29,10.0.0.159,powershell.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T14:11:00,4625,svc-backup,192.168.1.142,10.0.0.138,powershell.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-01T19:02:00,4624,admin,192.168.1.190,10.0.0.235,lsass.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-02T16:35:00,4624,analyst,192.168.1.212,10.0.0.149,svchost.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-02T12:34:00,4625,admin,192.168.1.96,10.0.0.12,lsass.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-03T07:59:00,4624,admin,192.168.1.223,10.0.0.173,explorer.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-04T14:51:00,4625,svc-backup,192.168.1.123,10.0.0.11,svchost.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-03T21:11:00,4625,analyst,192.168.1.123,10.0.0.228,explorer.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-02T08:19:00,4624,user1,192.168.1.133,10.0.0.175,lsass.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T01:53:00,4624,svc-backup,192.168.1.150,10.0.0.120,svchost.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-02T08:19:00,4624,mered,192.168.1.131,10.0.0.179,lsass.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-01T08:14:00,4624,svc-backup,192.168.1.148,10.0.0.112,winword.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T16:54:00,4624,analyst,192.168.1.250,10.0.0.112,winword.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T12:28:00,4625,mered,192.168.1.71,10.0.0.75,powershell.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-03T02:28:00,4624,svc-backup,192.168.1.22,10.0.0.218,winword.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-04T08:39:00,4625,admin,192.168.1.233,10.0.0.130,winword.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-01T21:17:00,4624,admin,192.168.1.228,10.0.0.53,cmd.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-01T14:58:00,4625,user1,192.168.1.202,10.0.0.241,lsass.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-02T01:59:00,4625,mered,192.168.1.52,10.0.0.64,cmd.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-04T18:42:00,4625,admin,192.168.1.184,10.0.0.36,powershell.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-03T12:15:00,4625,mered,192.168.1.152,10.0.0.200,cmd.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-04T00:06:00,4625,user1,192.168.1.243,10.0.0.32,svchost.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T05:01:00,4624,user1,192.168.1.186,10.0.0.218,svchost.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-03T21:41:00,4625,mered,192.168.1.74,10.0.0.8,svchost.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T04:45:00,4624,admin,192.168.1.19,10.0.0.79,explorer.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-03T20:06:00,4624,mered,192.168.1.130,10.0.0.3,lsass.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-02T13:53:00,4625,svc-backup,192.168.1.171,10.0.0.72,svchost.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-02T10:16:00,4625,analyst,192.168.1.169,10.0.0.236,lsass.exe,account_lockout,Simulated log entry for cybersecurity Blueteams
2025-01-02T13:12:00,4625,analyst,192.168.1.22,10.0.0.252,powershell.exe,failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T02:40:00,4624,svc-backup,192.168.1.42,10.0.0.215,svchost.exe,multiple_failed_attempts,Simulated log entry for cybersecurity Blueteams
2025-01-03T17:47:00,4624,admin,192.168.1.9,10.0.0.84,svchost.exe,failed_login,Simulated log entry for cybersecurity Blueteams
