timestamp,event_id,username,source_ip,dest_ip,process,action,details
2025-01-01T19:26:00,5152,svc-backup,192.168.1.177,10.0.0.84,lsass.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-02T16:30:00,5152,svc-backup,192.168.1.20,10.0.0.114,cmd.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-01T23:58:00,5156,analyst,192.168.1.112,10.0.0.70,explorer.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-02T10:50:00,5156,admin,192.168.1.22,10.0.0.119,svchost.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-04T06:08:00,5156,user1,192.168.1.62,10.0.0.182,cmd.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-03T15:08:00,5152,mered,192.168.1.125,10.0.0.132,svchost.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-02T16:23:00,5156,mered,192.168.1.72,10.0.0.106,winword.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-03T09:42:00,5152,mered,192.168.1.194,10.0.0.14,powershell.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-03T12:09:00,5156,analyst,192.168.1.190,10.0.0.230,winword.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-01T19:08:00,5152,mered,192.168.1.118,10.0.0.64,svchost.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-02T18:07:00,5152,svc-backup,192.168.1.122,10.0.0.28,powershell.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T15:35:00,5152,mered,192.168.1.16,10.0.0.137,svchost.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-04T11:11:00,5152,svc-backup,192.168.1.193,10.0.0.123,lsass.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-03T07:34:00,5156,admin,192.168.1.163,10.0.0.129,svchost.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-03T16:10:00,5152,analyst,192.168.1.2,10.0.0.13,powershell.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-01T11:00:00,5152,svc-backup,192.168.1.215,10.0.0.66,lsass.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-01T21:52:00,5156,svc-backup,192.168.1.198,10.0.0.120,explorer.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T08:42:00,5152,svc-backup,192.168.1.191,10.0.0.3,explorer.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
